Serial,Potential(V),Current (uA),pH,Temperature,GLUCOSE
66,0.050539284,2584.078,4.5,25,0.3mM
67,0.060547064,2328.6,4.5,25,0.3mM
68,0.070554848,2063.547,4.5,25,0.3mM
69,0.080562624,1793.564,4.5,25,0.3mM
70,0.090570408,1519.126,4.5,25,0.3mM
71,0.100578184,1243.266,4.5,25,0.3mM
72,0.11058596,966.932,4.5,25,0.3mM
73,0.120593744,689.081,4.5,25,0.3mM
74,0.130601528,410.661,4.5,25,0.3mM
75,0.140609,133.758856,4.5,25,0.3mM
76,0.150617,0,4.5,25,0.3mM
77,0.160624,0,4.5,25,0.3mM
78,0.170632,0,4.5,25,0.3mM
79,0.18064,0,4.5,25,0.3mM
80,0.190648,0,4.5,25,0.3mM
81,0.200655,0,4.5,25,0.3mM
82,0.210663,0,4.5,25,0.3mM
83,0.220671,0,4.5,25,0.3mM
84,0.230679,0,4.5,25,0.3mM
85,0.240687,0,4.5,25,0.3mM
86,0.250694,0,4.5,25,0.3mM
87,0.260702,0,4.5,25,0.3mM
88,0.27071,0,4.5,25,0.3mM
89,0.280718,0,4.5,25,0.3mM
90,0.290725,0,4.5,25,0.3mM
91,0.300733,0,4.5,25,0.3mM
92,0.310741,0,4.5,25,0.3mM
93,0.320749,0,4.5,25,0.3mM
94,0.330757,0,4.5,25,0.3mM
95,0.340764,0,4.5,25,0.3mM
96,0.350772,0,4.5,25,0.3mM
97,0.36078,0,4.5,25,0.3mM
98,0.370788,0,4.5,25,0.3mM
99,0.380795,0,4.5,25,0.3mM
100,0.390803,0,4.5,25,0.3mM
101,0.400811,0,4.5,25,0.3mM
102,0.410819,0,4.5,25,0.3mM
103,0.420827,0,4.5,25,0.3mM
104,0.430834,0,4.5,25,0.3mM
105,0.440842,0,4.5,25,0.3mM
106,0.45085,0,4.5,25,0.3mM
107,0.460858,0,4.5,25,0.3mM
108,0.470866,0,4.5,25,0.3mM
109,0.480873,0,4.5,25,0.3mM
110,0.490881,0,4.5,25,0.3mM
111,0.500889,0,4.5,25,0.3mM
112,0.510897,0,4.5,25,0.3mM
113,0.520904,0,4.5,25,0.3mM
114,0.530912,0,4.5,25,0.3mM
115,0.54092,-7.299239,4.5,25,0.3mM
116,0.550928,-7.014953,4.5,25,0.3mM
117,0.560936,-6.23293325,4.5,25,0.3mM
118,0.570943,-5.119246,4.5,25,0.3mM
119,0.580951,-5.498295,4.5,25,0.3mM
120,0.590959,-4.076398,4.5,25,0.3mM
121,0.600967,-4.550208,4.5,25,0.3mM
122,-0.599966,-0.094994896,4.5,35,0.3mM
123,-0.589958,0.094994896,4.5,35,0.3mM
124,-0.57995,0.094994896,4.5,35,0.3mM
125,-0.569943,0,4.5,35,0.3mM
126,-0.559935,-0.094762064,4.5,35,0.3mM
127,-0.549927,0.094762064,4.5,35,0.3mM
128,-0.539919,0,4.5,35,0.3mM
129,-0.529911,0,4.5,35,0.3mM
130,-0.519904,-0.094762064,4.5,35,0.3mM
131,-0.509896,0.094762064,4.5,35,0.3mM
132,-0.499888,0,4.5,35,0.3mM
133,-0.48988,0,4.5,35,0.3mM
134,-0.479872,0,4.5,35,0.3mM
135,-0.469865,0,4.5,35,0.3mM
136,-0.459857,0,4.5,35,0.3mM
137,-0.449849,-0.094762064,4.5,35,0.3mM
138,-0.439841,-0.189524,4.5,35,0.3mM
139,-0.429834,-0.189524,4.5,35,0.3mM
140,-0.419826,-0.189524,4.5,35,0.3mM
141,-0.409818,-0.189524,4.5,35,0.3mM
142,-0.39981,-0.379048,4.5,35,0.3mM
143,-0.389802,-0.379048,4.5,35,0.3mM
144,-0.379795,0.948086,4.5,35,0.3mM
145,-0.369787,74.889736,4.5,35,0.3mM
146,-0.359779,367.529,4.5,35,0.3mM
147,-0.349771,682.066,4.5,35,0.3mM
148,-0.339764,1011.107,4.5,35,0.3mM
149,-0.329756,1338.632,4.5,35,0.3mM
150,-0.319748,1674.309,4.5,35,0.3mM
151,-0.30974,2013.304,4.5,35,0.3mM
152,-0.299732,2357.418,4.5,35,0.3mM
153,-0.289725,2703.807,4.5,35,0.3mM
154,-0.279717,3055.79,4.5,35,0.3mM
155,-0.269709,3414.503,4.5,35,0.3mM
156,-0.259701,3770.751,4.5,35,0.3mM
157,-0.249694,4129.748,4.5,35,0.3mM
158,-0.239686,4485.712,4.5,35,0.3mM
159,-0.229678,4823.095,4.5,35,0.3mM
160,-0.21967,5136.116,4.5,35,0.3mM
161,-0.209662,5437.192,4.5,35,0.3mM
162,-0.199655,5727.84,4.5,35,0.3mM
163,-0.189647,6007.872,4.5,35,0.3mM
164,-0.179639,6213.582,4.5,35,0.3mM
165,-0.169631,5965.497,4.5,35,0.3mM
166,-0.159624,5698.358,4.5,35,0.3mM
167,-0.149616,5440.984,4.5,35,0.3mM
168,-0.139608,5189.582,4.5,35,0.3mM
169,-0.129600736,4950.977,4.5,35,0.3mM
170,-0.119592968,4728.203,4.5,35,0.3mM
171,-0.109585184,4526.475,4.5,35,0.3mM
172,-0.099577408,4352.522,4.5,35,0.3mM
173,-0.089569624,4211.179,4.5,35,0.3mM
174,-0.079561848,4110.978,4.5,35,0.3mM
175,-0.069554072,4051.351,4.5,35,0.3mM
176,-0.059546288,4012.389,4.5,35,0.3mM
177,-0.049538508,3966.792,4.5,35,0.3mM
178,-0.039530728,3903.751,4.5,35,0.3mM
179,-0.029522948,3821.373,4.5,35,0.3mM
180,-0.01951517,3713.019,4.5,35,0.3mM
181,-0.009507391,3574.71,4.5,35,0.3mM
182,0.000500388,3406.445,4.5,35,0.3mM
183,0.010508168,3210.499,4.5,35,0.3mM
184,0.020515946,2992.465,4.5,35,0.3mM
185,0.030523726,2752.154,4.5,35,0.3mM
186,0.040531504,2492.125,4.5,35,0.3mM
187,0.050539284,2218.73,4.5,35,0.3mM
188,0.060547064,1938.604,4.5,35,0.3mM
189,0.070554848,1658.193,4.5,35,0.3mM
190,0.080562624,1381.67,4.5,35,0.3mM
191,0.090570408,1108.654,4.5,35,0.3mM
192,0.100578184,841.136,4.5,35,0.3mM
193,0.11058596,578.642,4.5,35,0.3mM
194,0.120593744,317.855,4.5,35,0.3mM
195,0.130601528,65.125748,4.5,35,0.3mM
196,0.140609,0,4.5,35,0.3mM
197,0.150617,0,4.5,35,0.3mM
198,0.160624,0,4.5,35,0.3mM
199,0.170632,0,4.5,35,0.3mM
200,0.18064,0,4.5,35,0.3mM
201,0.190648,0,4.5,35,0.3mM
202,0.200655,0,4.5,35,0.3mM
203,0.210663,0,4.5,35,0.3mM
204,0.220671,0,4.5,35,0.3mM
205,0.230679,0,4.5,35,0.3mM
206,0.240687,0,4.5,35,0.3mM
207,0.250694,0,4.5,35,0.3mM
208,0.260702,0,4.5,35,0.3mM
209,0.27071,0,4.5,35,0.3mM
210,0.280718,0,4.5,35,0.3mM
211,0.290725,0,4.5,35,0.3mM
212,0.300733,0,4.5,35,0.3mM
213,0.310741,0,4.5,35,0.3mM
214,0.320749,0,4.5,35,0.3mM
215,0.330757,0,4.5,35,0.3mM
216,0.340764,0,4.5,35,0.3mM
217,0.350772,0,4.5,35,0.3mM
218,0.36078,0,4.5,35,0.3mM
219,0.370788,0,4.5,35,0.3mM
220,0.380795,0,4.5,35,0.3mM
221,0.390803,0,4.5,35,0.3mM
222,0.400811,0,4.5,35,0.3mM
223,0.410819,0,4.5,35,0.3mM
224,0.420827,0,4.5,35,0.3mM
225,0.430834,0,4.5,35,0.3mM
226,0.440842,0,4.5,35,0.3mM
227,0.45085,0,4.5,35,0.3mM
228,0.460858,0,4.5,35,0.3mM
229,0.470866,0,4.5,35,0.3mM
230,0.480873,0,4.5,35,0.3mM
231,0.490881,0,4.5,35,0.3mM
232,0.500889,0,4.5,35,0.3mM
233,0.510897,0,4.5,35,0.3mM
234,0.520904,0,4.5,35,0.3mM
235,0.530912,0,4.5,35,0.3mM
236,0.54092,0,4.5,35,0.3mM
237,0.550928,0,4.5,35,0.3mM
238,0.560936,0,4.5,35,0.3mM
239,0.570943,0,4.5,35,0.3mM
240,0.580951,0,4.5,35,0.3mM
241,0.590959,18.485354,4.5,35,0.3mM
242,0.600967,206.373,4.5,35,0.3mM
243,-0.599966,-1.913393555,4.5,45,0.3mM
244,-0.589958,-1.913393555,4.5,45,0.3mM
245,-0.57995,-1.913393555,4.5,45,0.3mM
246,-0.569943,-1.913393555,4.5,45,0.3mM
247,-0.559935,-1.913393555,4.5,45,0.3mM
248,-0.549927,-1.913393555,4.5,45,0.3mM
249,-0.539919,-1.913393555,4.5,45,0.3mM
250,-0.529911,-1.913393555,4.5,45,0.3mM
251,-0.519904,-1.913393555,4.5,45,0.3mM
252,-0.509896,-1.913393555,4.5,45,0.3mM
253,-0.499888,-1.913393555,4.5,45,0.3mM
254,-0.48988,-1.913393555,4.5,45,0.3mM
255,-0.479872,35.67425,4.5,45,0.3mM
256,-0.469865,161.1740244,4.5,45,0.3mM
257,-0.459857,277.4302588,4.5,45,0.3mM
258,-0.449849,436.0084834,4.5,45,0.3mM
259,-0.439841,533.2941865,4.5,45,0.3mM
260,-0.429834,671.0935088,4.5,45,0.3mM
261,-0.419826,847.3338027,4.5,45,0.3mM
262,-0.409818,1049.589209,4.5,45,0.3mM
263,-0.39981,1254.446216,4.5,45,0.3mM
264,-0.389802,1435.832969,4.5,45,0.3mM
265,-0.379795,1636.030317,4.5,45,0.3mM
266,-0.369787,1892.583027,4.5,45,0.3mM
267,-0.359779,2149.175605,4.5,45,0.3mM
268,-0.349771,2396.03854,4.5,45,0.3mM
269,-0.339764,2644.938047,4.5,45,0.3mM
270,-0.329756,2893.691572,4.5,45,0.3mM
271,-0.319748,3154.055149,4.5,45,0.3mM
272,-0.30974,3432.749265,4.5,45,0.3mM
273,-0.299732,3720.013494,4.5,45,0.3mM
274,-0.289725,4005.804844,4.5,45,0.3mM
275,-0.279717,4290.979724,4.5,45,0.3mM
276,-0.269709,4567.3749,4.5,45,0.3mM
277,-0.259701,4837.280127,4.5,45,0.3mM
278,-0.249694,5097.643269,4.5,45,0.3mM
279,-0.239686,5349.899087,4.5,45,0.3mM
280,-0.229678,5582.7552,4.5,45,0.3mM
281,-0.21967,5646.161487,4.5,45,0.3mM
282,-0.209662,5679.658008,4.5,45,0.3mM
283,-0.199655,5701.81342,4.5,45,0.3mM
284,-0.189647,5719.460471,4.5,45,0.3mM
285,-0.179639,5731.457939,4.5,45,0.3mM
286,-0.169631,5738.95552,4.5,45,0.3mM
287,-0.159624,5735.582542,4.5,45,0.3mM
288,-0.149616,5718.800774,4.5,45,0.3mM
289,-0.139608,5572.839119,4.5,45,0.3mM
290,-0.129600736,5416.977576,4.5,45,0.3mM
291,-0.119592968,5271.106633,4.5,45,0.3mM
292,-0.109585184,5139.685803,4.5,45,0.3mM
293,-0.099577408,5024.135391,4.5,45,0.3mM
294,-0.089569624,4928.725212,4.5,45,0.3mM
295,-0.079561848,4856.395513,4.5,45,0.3mM
296,-0.069554072,4802.685925,4.5,45,0.3mM
297,-0.059546288,4755.746633,4.5,45,0.3mM
298,-0.049538508,4703.247637,4.5,45,0.3mM
299,-0.039530728,4639.898997,4.5,45,0.3mM
300,-0.029522948,4561.610591,4.5,45,0.3mM
301,-0.01951517,4464.312664,4.5,45,0.3mM
302,-0.009507391,4344.584788,4.5,45,0.3mM
303,0.000500388,4202.627329,4.5,45,0.3mM
304,0.010508168,4039.760105,4.5,45,0.3mM
305,0.020515946,3860.523359,4.5,45,0.3mM
306,0.030523726,3664.276726,4.5,45,0.3mM
307,0.040531504,3453.280388,4.5,45,0.3mM
308,0.050539284,3229.424346,4.5,45,0.3mM
309,0.060547064,2998.128538,4.5,45,0.3mM
310,0.070554848,2761.003391,4.5,45,0.3mM
311,0.080562624,2518.978174,4.5,45,0.3mM
312,0.090570408,2275.013374,4.5,45,0.3mM
313,0.100578184,2032.02948,4.5,45,0.3mM
314,0.11058596,1796.104355,4.5,45,0.3mM
315,0.120593744,1569.799557,4.5,45,0.3mM
316,0.130601528,1359.076901,4.5,45,0.3mM
317,0.140609,1169.731027,4.5,45,0.3mM
318,0.150617,994.9269619,4.5,45,0.3mM
319,0.160624,833.6300447,4.5,45,0.3mM
320,0.170632,663.7436621,4.5,45,0.3mM
321,0.18064,491.6224529,4.5,45,0.3mM
322,0.190648,339.356417,4.5,45,0.3mM
323,0.200655,209.6042917,4.5,45,0.3mM
324,0.210663,84.5323772,4.5,45,0.3mM
325,0.220671,-7.129241943,4.5,45,0.3mM
326,0.230679,-67.56124878,4.5,45,0.3mM
327,0.240687,-129.7529297,4.5,45,0.3mM
328,0.250694,-193.697998,4.5,45,0.3mM
329,0.260702,-259.4091187,4.5,45,0.3mM
330,0.27071,-326.8798218,4.5,45,0.3mM
331,0.280718,-396.1105957,4.5,45,0.3mM
332,0.290725,-467.093811,4.5,45,0.3mM
333,0.300733,-539.8439941,4.5,45,0.3mM
334,0.310741,-514.0578208,4.5,45,0.3mM
335,0.320749,-340.9165962,4.5,45,0.3mM
336,0.330757,-79.192771,4.5,45,0.3mM
337,0.340764,140.5852231,4.5,45,0.3mM
338,0.350772,258.297334,4.5,45,0.3mM
339,0.36078,258.297334,4.5,45,0.3mM
340,0.370788,258.297334,4.5,45,0.3mM
341,0.380795,258.297334,4.5,45,0.3mM
342,0.390803,258.297334,4.5,45,0.3mM
343,0.400811,258.297334,4.5,45,0.3mM
344,0.410819,258.297334,4.5,45,0.3mM
345,0.420827,258.297334,4.5,45,0.3mM
346,0.430834,258.297334,4.5,45,0.3mM
347,0.440842,258.297334,4.5,45,0.3mM
348,0.45085,258.297334,4.5,45,0.3mM
349,0.460858,258.297334,4.5,45,0.3mM
350,0.470866,258.297334,4.5,45,0.3mM
351,0.480873,258.297334,4.5,45,0.3mM
352,0.490881,258.297334,4.5,45,0.3mM
353,0.500889,258.297334,4.5,45,0.3mM
354,0.510897,258.297334,4.5,45,0.3mM
355,0.520904,258.297334,4.5,45,0.3mM
356,0.530912,258.297334,4.5,45,0.3mM
357,0.54092,258.297334,4.5,45,0.3mM
358,0.550928,258.297334,4.5,45,0.3mM
359,0.560936,258.297334,4.5,45,0.3mM
360,0.570943,258.297334,4.5,45,0.3mM
361,0.580951,258.297334,4.5,45,0.3mM
362,0.590959,258.297334,4.5,45,0.3mM
363,0.600967,258.297334,4.5,45,0.3mM
364,-0.599966,-0.379048,5.5,35,0.3mM
365,-0.589958,-0.379048,5.5,35,0.3mM
366,-0.57995,-0.379048,5.5,35,0.3mM
367,-0.569943,-0.379048,5.5,35,0.3mM
368,-0.559935,-0.379048,5.5,35,0.3mM
369,-0.549927,-0.379048,5.5,35,0.3mM
370,-0.539919,-0.379048,5.5,35,0.3mM
371,-0.529911,-0.379048,5.5,35,0.3mM
372,-0.519904,-0.379048,5.5,35,0.3mM
373,-0.509896,-0.379048,5.5,35,0.3mM
374,-0.499888,-0.284286,5.5,35,0.3mM
375,-0.48988,-0.379048,5.5,35,0.3mM
376,-0.479872,-0.284286,5.5,35,0.3mM
377,-0.469865,-0.284286,5.5,35,0.3mM
378,-0.459857,-0.284286,5.5,35,0.3mM
379,-0.449849,-0.284286,5.5,35,0.3mM
380,-0.439841,-0.379048,5.5,35,0.3mM
381,-0.429834,-0.379048,5.5,35,0.3mM
382,-0.419826,-0.189524,5.5,35,0.3mM
383,-0.409818,1.232372,5.5,35,0.3mM
384,-0.39981,46.5454,5.5,35,0.3mM
385,-0.389802,253.203,5.5,35,0.3mM
386,-0.379795,478.915,5.5,35,0.3mM
387,-0.369787,725.957,5.5,35,0.3mM
388,-0.359779,960.391,5.5,35,0.3mM
389,-0.349771,1206.958,5.5,35,0.3mM
390,-0.339764,1468.125,5.5,35,0.3mM
391,-0.329756,1734.41,5.5,35,0.3mM
392,-0.319748,2004.677,5.5,35,0.3mM
393,-0.30974,2280.443,5.5,35,0.3mM
394,-0.299732,2564.455,5.5,35,0.3mM
395,-0.289725,2858.327,5.5,35,0.3mM
396,-0.279717,3162.057,5.5,35,0.3mM
397,-0.269709,3469.58,5.5,35,0.3mM
398,-0.259701,3782.79,5.5,35,0.3mM
399,-0.249694,4080.928,5.5,35,0.3mM
400,-0.239686,4359.537,5.5,35,0.3mM
401,-0.229678,4636.345,5.5,35,0.3mM
402,-0.21967,4901.872,5.5,35,0.3mM
403,-0.209662,5156.687,5.5,35,0.3mM
404,-0.199655,5399.842,5.5,35,0.3mM
405,-0.189647,5470.466,5.5,35,0.3mM
406,-0.179639,5476.628,5.5,35,0.3mM
407,-0.169631,5468.001,5.5,35,0.3mM
408,-0.159624,5368.653,5.5,35,0.3mM
409,-0.149616,5151.284,5.5,35,0.3mM
410,-0.139608,4945.005,5.5,35,0.3mM
411,-0.129601,4744.888,5.5,35,0.3mM
412,-0.119593,4556.999,5.5,35,0.3mM
413,-0.109585,4385.985,5.5,35,0.3mM
414,-0.0995774,4235.542,5.5,35,0.3mM
415,-0.0895696,4111.737,5.5,35,0.3mM
416,-0.0795618,4019.499,5.5,35,0.3mM
417,-0.0695541,3959.302,5.5,35,0.3mM
418,-0.0595463,3914.179,5.5,35,0.3mM
419,-0.0495385,3865.548,5.5,35,0.3mM
420,-0.0395307,3804.119,5.5,35,0.3mM
421,-0.0295229,3726.481,5.5,35,0.3mM
422,-0.0195152,3630.356,5.5,35,0.3mM
423,-0.00950739,3509.679,5.5,35,0.3mM
424,0.000500388,3365.113,5.5,35,0.3mM
425,0.0105082,3198.365,5.5,35,0.3mM
426,0.0205159,3014.079,5.5,35,0.3mM
427,0.0305237,2812.066,5.5,35,0.3mM
428,0.0405315,2593.653,5.5,35,0.3mM
429,0.0505393,2364.054,5.5,35,0.3mM
430,0.0605471,2126.113,5.5,35,0.3mM
431,0.0705548,1885.612,5.5,35,0.3mM
432,0.0805626,1645.491,5.5,35,0.3mM
433,0.0905704,1408.023,5.5,35,0.3mM
434,0.100578,1177.571,5.5,35,0.3mM
435,0.110586,950.911,5.5,35,0.3mM
436,0.120594,728.991,5.5,35,0.3mM
437,0.130602,517.688,5.5,35,0.3mM
438,0.140609,320.794,5.5,35,0.3mM
439,0.150617,142.48,5.5,35,0.3mM
440,0.160624,5.877343,5.5,35,0.3mM
441,0.170632,0,5.5,35,0.3mM
442,0.18064,0,5.5,35,0.3mM
443,0.190648,0,5.5,35,0.3mM
444,0.200655,0,5.5,35,0.3mM
445,0.210663,0,5.5,35,0.3mM
446,0.220671,0,5.5,35,0.3mM
447,0.230679,0,5.5,35,0.3mM
448,0.240687,0,5.5,35,0.3mM
449,0.250694,0,5.5,35,0.3mM
450,0.260702,0,5.5,35,0.3mM
451,0.27071,0,5.5,35,0.3mM
452,0.280718,0,5.5,35,0.3mM
453,0.290725,0,5.5,35,0.3mM
454,0.300733,0,5.5,35,0.3mM
455,0.310741,0,5.5,35,0.3mM
456,0.320749,0,5.5,35,0.3mM
457,0.330757,0,5.5,35,0.3mM
458,0.340764,0,5.5,35,0.3mM
459,0.350772,0,5.5,35,0.3mM
460,0.36078,0,5.5,35,0.3mM
461,0.370788,0,5.5,35,0.3mM
462,0.380795,0,5.5,35,0.3mM
463,0.390803,160.112,5.5,35,0.3mM
464,0.400811,343.734,5.5,35,0.3mM
465,0.410819,541.482,5.5,35,0.3mM
466,0.420827,655.807,5.5,35,0.3mM
467,0.430834,803.122,5.5,35,0.3mM
468,0.440842,928.823,5.5,35,0.3mM
469,0.45085,1016.605,5.5,35,0.3mM
470,0.460858,1100.786,5.5,35,0.3mM
471,0.470866,1183.259,5.5,35,0.3mM
472,0.480873,1098.795,5.5,35,0.3mM
473,0.490881,836.396,5.5,35,0.3mM
474,0.500889,1012.814,5.5,35,0.3mM
475,0.510897,897.256,5.5,35,0.3mM
476,0.520904,744.158,5.5,35,0.3mM
477,0.530912,743.684,5.5,35,0.3mM
478,0.54092,646.896,5.5,35,0.3mM
479,0.550928,519.394,5.5,35,0.3mM
480,0.560936,559.588,5.5,35,0.3mM
481,0.570943,493.135,5.5,35,0.3mM
482,0.580951,440.333,5.5,35,0.3mM
483,0.590959,177.365,5.5,35,0.3mM
484,0.600967,48.156996,5.5,35,0.3mM
485,-0.599966,0,5.5,25,0.3mM
486,-0.589958,0,5.5,25,0.3mM
487,-0.57995,-0.094762064,5.5,25,0.3mM
488,-0.569943,0,5.5,25,0.3mM
489,-0.559935,-0.094762064,5.5,25,0.3mM
490,-0.549927,-0.094762064,5.5,25,0.3mM
491,-0.539919,-0.094762064,5.5,25,0.3mM
492,-0.529911,0,5.5,25,0.3mM
493,-0.519904,0,5.5,25,0.3mM
494,-0.509896,0,5.5,25,0.3mM
495,-0.499888,0,5.5,25,0.3mM
496,-0.48988,0,5.5,25,0.3mM
497,-0.479872,0,5.5,25,0.3mM
498,-0.469865,0,5.5,25,0.3mM
499,-0.459857,0,5.5,25,0.3mM
500,-0.449849,0,5.5,25,0.3mM
501,-0.439841,0,5.5,25,0.3mM
502,-0.429834,0,5.5,25,0.3mM
503,-0.419826,0,5.5,25,0.3mM
504,-0.409818,0,5.5,25,0.3mM
505,-0.39981,0,5.5,25,0.3mM
506,-0.389802,0,5.5,25,0.3mM
507,-0.379795,0,5.5,25,0.3mM
508,-0.369787,0,5.5,25,0.3mM
509,-0.359779,0,5.5,25,0.3mM
510,-0.349771,63.229808,5.5,25,0.3mM
511,-0.339764,348.759,5.5,25,0.3mM
512,-0.329756,650.688,5.5,25,0.3mM
513,-0.319748,953.091,5.5,25,0.3mM
514,-0.30974,1248.195,5.5,25,0.3mM
515,-0.299732,1545.953,5.5,25,0.3mM
516,-0.289725,1840.489,5.5,25,0.3mM
517,-0.279717,2127.725,5.5,25,0.3mM
518,-0.269709,2401.215,5.5,25,0.3mM
519,-0.259701,2687.408,5.5,25,0.3mM
520,-0.249694,2973.695,5.5,25,0.3mM
521,-0.239686,3260.362,5.5,25,0.3mM
522,-0.229678,3543.711,5.5,25,0.3mM
523,-0.21967,3830.284,5.5,25,0.3mM
524,-0.209662,4115.813,5.5,25,0.3mM
525,-0.199655,4400.205,5.5,25,0.3mM
526,-0.189647,4684.028,5.5,25,0.3mM
527,-0.179639,4962.921,5.5,25,0.3mM
528,-0.169631,5242.289,5.5,25,0.3mM
529,-0.159624,5468.096,5.5,25,0.3mM
530,-0.149616,5421.267,5.5,25,0.3mM
531,-0.139608,5321.066,5.5,25,0.3mM
532,-0.129600736,5225.32,5.5,25,0.3mM
533,-0.119592968,5040.75,5.5,25,0.3mM
534,-0.109585184,4789.063,5.5,25,0.3mM
535,-0.099577408,4551.881,5.5,25,0.3mM
536,-0.089569624,4331.477,5.5,25,0.3mM
537,-0.079561848,4134.677,5.5,25,0.3mM
538,-0.069554072,3966.507,5.5,25,0.3mM
539,-0.059546288,3835.782,5.5,25,0.3mM
540,-0.049538508,3755.204,5.5,25,0.3mM
541,-0.039530728,3719.655,5.5,25,0.3mM
542,-0.029522948,3689.889,5.5,25,0.3mM
543,-0.01951517,3642.68,5.5,25,0.3mM
544,-0.009507391,3565.136,5.5,25,0.3mM
545,0.000500388,3454.223,5.5,25,0.3mM
546,0.010508168,3309.467,5.5,25,0.3mM
547,0.020515946,3139.59,5.5,25,0.3mM
548,0.030523726,2949.617,5.5,25,0.3mM
549,0.040531504,2740.399,5.5,25,0.3mM
550,0.050539284,2515.73,5.5,25,0.3mM
551,0.060547064,2277.599,5.5,25,0.3mM
552,0.070554848,2032.169,5.5,25,0.3mM
553,0.080562624,1781.809,5.5,25,0.3mM
554,0.090570408,1529.648,5.5,25,0.3mM
555,0.100578184,1274.738,5.5,25,0.3mM
556,0.11058596,1018.312,5.5,25,0.3mM
557,0.120593744,759.515,5.5,25,0.3mM
558,0.130601528,501.477,5.5,25,0.3mM
559,0.140609,242.112,5.5,25,0.3mM
560,0.150617,0,5.5,25,0.3mM
561,0.160624,0,5.5,25,0.3mM
562,0.170632,0,5.5,25,0.3mM
563,0.18064,0,5.5,25,0.3mM
564,0.190648,0,5.5,25,0.3mM
565,0.200655,0,5.5,25,0.3mM
566,0.210663,-3.507593,5.5,25,0.3mM
567,0.220671,-6.066867,5.5,25,0.3mM
568,0.230679,-7.868277,5.5,25,0.3mM
569,0.240687,-6.0671,5.5,25,0.3mM
570,0.250694,-5.593057,5.5,25,0.3mM
571,0.260702,-7.678521,5.5,25,0.3mM
572,0.27071,-9.10065,5.5,25,0.3mM
573,0.280718,-2.464744,5.5,25,0.3mM
574,0.290725,-8.152564,5.5,25,0.3mM
575,0.300733,-4.929489,5.5,25,0.3mM
576,0.310741,-9.195412,5.5,25,0.3mM
